Name,Image,Album,1998,1999,2000,2001,2002,2003,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2019,2020,2021
"""Heroes""",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,67,67,67,67
(Sittin' On) The Dock of the Bay,,,0,0,0,0,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4
(You Gotta) Fight for Your Right (To Party!),,,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,3,3,3,3,3
1.36,,,0,0,0,0,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1999,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2016 Song,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
42,,,0,0,0,0,0,0,0,0,0,88,171,179,179,180,180,180,180,180,180,180,180,180
A Ghost,,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A Head Full of Dreams,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,78,133,133,133,133
A Message,,,0,0,0,0,0,0,17,17,17,17,17,18,18,18,18,18,18,19,19,19,19,19
A Rush of Blood to the Head,,,0,0,0,32,58,120,141,141,143,143,143,143,143,143,143,143,143,144,144,144,144,144
A Sky Full of Stars,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,40,112,169,171,173,185
A Whisper,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
Adventure of a Lifetime,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,95,154,155,157,160
All I Can Think About Is You,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
All the Things She Said,,,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Always in My Head,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,59,114,114,114,114
Amazing Day,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,60,65,65,65,65
Amor Argentina,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
Amsterdam,,,0,0,0,3,9,61,74,74,74,76,76,76,76,78,78,78,78,79,79,79,81,81
Animals,,,0,0,20,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
Another's Arms,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8
Arabesque,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,8
Army of One,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4
Atlas,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3
Back for Good,,,0,0,0,0,0,0,0,0,0,3,4,5,5,5,5,5,5,5,5,5,5,5
Bani Adam,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
Barbie Girl,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Beach Chair,,,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Before I Lose,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bigger Stronger,,,1,8,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91
Bigger Tractor,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Billie Jean,,,0,0,0,0,0,0,0,0,0,0,39,40,40,40,40,40,40,40,40,40,40,40
Birds,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,84,84,84,84
Bitter Sweet Symphony,,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Boys That Sing,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
BrokEn,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,8
Brothers & Sisters,,,0,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Can't Get You Out of My Head,,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
Careful Where You Stand,,,0,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Cemeteries of London,,,0,0,0,0,0,0,0,0,0,46,119,122,129,129,129,129,129,129,129,129,129,129
Champion of the World,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,11
Chantaje,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Charlie Brown,,,0,0,0,0,0,0,0,0,0,0,0,0,52,126,128,143,146,213,268,268,269,269
Chinese Sleep Chant,,,0,0,0,0,0,0,0,0,0,84,91,91,91,91,91,91,91,91,91,91,91,91
Christmas Lights,,,0,0,0,0,0,0,0,0,0,0,0,3,6,6,9,11,14,17,17,17,17,17
Christmas With the Kangaroos,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Church,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5
City of Seoul,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Clocks,,,0,0,0,0,72,168,271,322,333,421,505,516,564,634,636,657,664,733,789,789,790,801
Coloratura,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
