Name,Image,Album,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,2015
(For the) Children of the Eighties,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
(I Can't Get No) Satisfaction,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,19,22,24,27,28,28,28,28,28,28,30,30,31,31,31
(I'm a) Road Runner,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2
A Voice From on High,,,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Ain't That Peculiar,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Alabama Getaway,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,66,89,101,111,119,125,130,133,136,138,138,138,138,138,138,142,144
Alice D. Millionaire,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
All Along the Watchtower,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,33,46,60,76,87,100,114,119,119
Alligator,,,1,1,15,30,55,67,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,70
Althea,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,79,123,144,156,167,176,182,193,202,209,217,229,239,253,266,274,276
And We Bid You Goodnight,,,0,0,0,11,33,45,48,48,52,54,54,55,55,56,56,56,56,56,56,56,56,56,56,56,62,66,67,67,67,67,67,67
Angie,,,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Are You Lonely for Me, Baby?",,,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Around and Around,,,0,0,0,0,0,4,7,23,53,76,77,96,120,162,188,217,248,266,282,299,316,328,346,352,358,373,386,392,402,409,418,418
Attics of My Life,,,0,0,0,0,0,19,19,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,24,25,28,31,38,48,54,56
Baba O'Riley,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,12,12,12
Baby What You Want Me to Do,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5
